,,,,,Constant Population,,Increasing Population,,Decreasing Population,
Temp,Covariate,Strata,Noise,season,Stratified Mean,VAST Estimate,Stratified Mean,VAST Estimate,Stratified Mean,VAST Estimate
const,no cov,all,no ,spring,0.21,0.11,0.16,0.13,0.23,0.08
const,no cov,all,yes,spring,0.25,0.16,0.22,0.21,0.27,0.11
const,w/ cov,all,no ,spring,0.21,0.07,0.16,0.06,0.23,0.06
const,w/ cov,all,yes,spring,0.25,0.08,0.22,0.07,0.27,0.07
const,no cov,all,no ,fall,0.32,0.68,0.34,0.36,0.41,0.81
const,no cov,all,yes,fall,0.31,0.77,0.46,0.44,0.44,1.09
const,w/ cov,all,no ,fall,0.32,0.08,0.34,0.08,0.41,0.08
const,w/ cov,all,yes,fall,0.31,0.11,0.46,0.17,0.44,0.18
const,no cov,reduced,no ,spring,0.27,0.19,0.2,0.15,0.25,0.19
const,no cov,reduced,yes,spring,0.26,0.15,0.22,0.11,0.3,0.16
const,w/ cov,reduced,no ,spring,0.27,0.19,0.2,0.17,0.25,0.19
const,w/ cov,reduced,yes,spring,0.26,0.14,0.22,0.13,0.3,0.16
const,no cov,reduced,no ,fall,0.47,0.25,0.41,0.11,0.55,0.24
const,no cov,reduced,yes,fall,0.49,0.36,0.46,0.21,0.53,0.36
const,w/ cov,reduced,no ,fall,0.47,0.19,0.41,0.22,0.55,0.23
const,w/ cov,reduced,yes,fall,0.49,0.17,0.46,0.19,0.53,0.24
increasing,no cov,all,no ,spring,0.28,0.11,0.32,0.13,0.22,0.15
increasing,no cov,all,yes,spring,0.28,0.15,0.34,0.16,0.26,0.17
increasing,w/ cov,all,no ,spring,0.28,0.06,0.32,0.07,0.22,0.07
increasing,w/ cov,all,yes,spring,0.28,0.12,0.34,0.1,0.26,0.1
increasing,no cov,all,no ,fall,0.51,1.26,0.3,0.66,0.28,1.06
increasing,no cov,all,yes,fall,0.5,1.38,0.39,0.71,0.25,1.1
increasing,w/ cov,all,no ,fall,0.51,0.23,0.3,0.21,0.28,0.15
increasing,w/ cov,all,yes,fall,0.5,0.28,0.3,0.37,0.25,0.2
increasing,no cov,reduced,no ,spring,0.31,0.17,0.4,0.33,0.32,0.14
increasing,no cov,reduced,yes,spring,0.29,0.19,0.41,0.26,0.29,0.15
increasing,w/ cov,reduced,no ,spring,0.31,0.17,0.4,0.3,0.32,0.22
increasing,w/ cov,reduced,yes,spring,0.29,0.15,0.41,0.25,0.29,0.21
increasing,no cov,reduced,no ,fall,0.64,0.75,0.7,0.49,0.54,0.6
increasing,no cov,reduced,yes,fall,0.66,0.89,0.69,0.48,0.53,0.62
increasing,w/ cov,reduced,no ,fall,0.64,0.2,0.7,0.53,0.54,0.31
increasing,w/ cov,reduced,yes,fall,0.66,0.13,0.69,0.5,0.53,0.32
